tweet_id,text,rating_numerator,rating_denominator,name,dogs_stage,year,month,day,rating,jpg_url,dog_type,confidence_list,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url,rating_ratio
667453023279554560,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,11.0,10.0,Cupcake,None,2015,11,19,11.0,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,Labrador_retriever,0.8256700000000001,292.0,80.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/6uLCWR9Efa,1.1
667455448082227200,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,7.0,10.0,Reese,None,2015,11,19,7.0,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,Tibetan_terrier,0.676376,178.0,56.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/uLzRi1drVK,0.7
667470559035432960,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,11.0,10.0,a,None,2015,11,19,11.0,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,toy_poodle,0.304175,235.0,88.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/J4vn2rOYFk,1.1
667491009379606528,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,7.0,10.0,None,None,2015,11,19,7.0,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,borzoi,0.852088,482.0,206.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/ITxxcc4v9y,0.7
667495797102141441,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,9.0,10.0,Philippe,None,2015,11,20,9.0,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,Chihuahua,0.143957,486.0,244.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/5NhPV8E45i,0.9
667502640335572993,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,11.0,10.0,Hall,None,2015,11,20,11.0,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,Labrador_retriever,0.996709,505.0,201.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/n5Wtb5Hvsl,1.1
667517642048163840,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,8.0,10.0,Dook,None,2015,11,20,8.0,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,Italian_greyhound,0.125176,343.0,177.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/fh5KflzBR0,0.8
667524857454854144,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,12.0,10.0,None,None,2015,11,20,12.0,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,Chesapeake_Bay_retriever,0.08812239999999999,1577.0,1031.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/seESNzgsdm,1.2
667530908589760512,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",10.0,10.0,Naphaniel,None,2015,11,20,10.0,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,golden_retriever,0.633037,433.0,219.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/xoRWyQTcmy,1.0
667534815156183040,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",8.0,10.0,Frank,None,2015,11,20,8.0,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,Pembroke,0.435254,759.0,482.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/CpPxD28IpV,0.8
667538891197542400,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",9.0,10.0,a,None,2015,11,20,9.0,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,Yorkshire_terrier,0.618957,190.0,60.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/IQTOMqDUIe,0.9
667544320556335104,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",10.0,10.0,Kial,None,2015,11,20,10.0,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,Pomeranian,0.412893,798.0,486.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/8zcwIoiuqR,1.0
667546741521195010,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,9.0,10.0,George,None,2015,11,20,9.0,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg,toy_poodle,0.787424,316.0,115.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/afRtVsoIIb,0.9
667728196545200128,Meet Olive. He comes to spot by tree to reminisce of simpler times and truly admire his place in the universe. 11/10 https://t.co/LwrCwlWwPB,11.0,10.0,Olive,None,2015,11,20,11.0,https://pbs.twimg.com/media/CUQ_QahUAAAVQjn.jpg,kuvasz,0.360159,347.0,140.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/LwrCwlWwPB,1.1
667773195014021121,This is a rare Hungarian Pinot named Jessiga. She is either mid-stroke or got stuck in the washing machine. 8/10 https://t.co/ZU0i0KJyqD,8.0,10.0,a,None,2015,11,20,8.0,https://pbs.twimg.com/media/CURoLrOVEAAaWdR.jpg,West_Highland_white_terrier,0.360465,216.0,48.0,8947178.0,18.0,Twitter Web Client,Original tweet,https://t.co/ZU0i0KJyqD,0.8
667793409583771648,Dogs only please. Small cows and other non canines will not be tolerated. Sick tattoos tho 8/10 https://t.co/s1z7mX4c9O,8.0,10.0,None,None,2015,11,20,8.0,https://pbs.twimg.com/media/CUR6jqVWsAEgGot.jpg,dalmatian,0.5350729999999999,647.0,306.0,8947178.0,18.0,Twitter for iPhone,Original tweet,https://t.co/s1z7mX4c9O,0.8
667801013445750784,OMIGOD 12/10 https://t.co/SVMF4Frf1w,12.0,10.0,None,None,2015,11,20,12.0,https://pbs.twimg.com/media/CUSBemVUEAAn-6V.jpg,flat-coated_retriever,0.508392,302.0,87.0,8947178.0,18.0,Twitter for iPhone,Original tweet,https://t.co/SVMF4Frf1w,1.2
667806454573760512,This is Filup. He is overcome with joy after finally meeting his father. 10/10 https://t.co/TBmDJXJB75,10.0,10.0,Filup,None,2015,11,20,10.0,https://pbs.twimg.com/media/CUSGbXeVAAAgztZ.jpg,Chihuahua,0.187155,981.0,449.0,8947178.0,18.0,Twitter for iPhone,Original tweet,https://t.co/TBmDJXJB75,1.0
667832474953625600,"THE EYES 12/10

I'm sorry. These are supposed to be funny but your dogs are too adorable https://t.co/z1xPTgVLc7",12.0,10.0,None,None,2015,11,20,12.0,https://pbs.twimg.com/media/CUSeGFNW4AAyyHC.jpg,miniature_pinscher,0.2142,270.0,57.0,8947178.0,18.0,Twitter for iPhone,Original tweet,https://t.co/z1xPTgVLc7,1.2
667861340749471744,This is a Shotokon Macadamia mix named Cheryl. Sophisticated af. Looks like a disappointed librarian. Shh (lol) 9/10 https://t.co/J4GnJ5Swba,9.0,10.0,a,None,2015,11,21,9.0,https://pbs.twimg.com/media/CUS4WJ-UsAEJj10.jpg,malamute,0.967275,230.0,74.0,8947178.0,18.0,Twitter for iPhone,Original tweet,https://t.co/J4GnJ5Swba,0.9
667878741721415682,This is Tedrick. He lives on the edge. Needs someone to hit the gas tho. Other than that he's a baller. 10&amp;2/10 https://t.co/LvP1TTYSCN,2.0,10.0,Tedrick,None,2015,11,21,2.0,https://pbs.twimg.com/media/CUTILFiWcAE8Rle.jpg,miniature_pinscher,0.106003,371.0,108.0,8947178.0,18.0,Twitter for iPhone,Original tweet,https://t.co/LvP1TTYSCN,0.2
667885044254572545,Meet Stu. Stu has stacks on stacks and an eye made of pure gold. 10/10 pay for my tuition pls https://t.co/7rkYZQdKEd,10.0,10.0,Stu,None,2015,11,21,10.0,https://pbs.twimg.com/media/CUTN5V4XAAAIa4R.jpg,malamute,0.0885297,767.0,429.0,8947178.0,18.0,Twitter for iPhone,Original tweet,https://t.co/7rkYZQdKEd,1.0
667886921285246976,This is Erik. He's fucken massive. But also kind. Let's people hug him for free. Looks soft. 11/10 I would hug Erik https://t.co/MT7Q4aDQS1,11.0,10.0,Erik,None,2015,11,21,11.0,https://pbs.twimg.com/media/CUTPnPCW4AI7R0y.jpg,Pomeranian,0.8004319999999999,1733.0,981.0,8947178.0,18.0,Twitter for iPhone,Original tweet,https://t.co/MT7Q4aDQS1,1.1
